"X"	"latitude"	"longitude"	"returned.address"	"zipcode"	"neighborhood"	"borough"
"1"	1	40.74674	-74.00776	"550-598 W 20th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"2"	2	40.73029	-73.99076	"470 Lafayette St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"3"	3	40.71775	-73.956	"185-195 N 8th St, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"4"	4	40.73902	-74.00264	"135-137 Greenwich Ave, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"5"	5	40.7271	-74.00297	"27-39 Macdougal St, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"6"	6	40.72955	-73.98057	"500 E 13th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"7"	7	40.73532	-73.998	"77 W 11th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"8"	8	40.76009	-73.99462	"482 W 43rd St, New York, NY 10036, USA"	"10036"	"Chelsea and Clinton"	"Manhattan"
"9"	9	40.71107	-74.00945	"195 Broadway, New York, NY 10007, USA"	"10007"	"Lower Manhattan"	"Manhattan"
"10"	10	40.69453	-73.95809	"140 Franklin Ave, Brooklyn, NY 11205, USA"	"11205"	"Northwest Brooklyn"	"Brooklyn"
"11"	11	40.70706	-74.00732	"90 Maiden Ln, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"12"	12	40.77537	-73.94803	"450 E 85th St, New York, NY 10028, USA"	"10028"	"Upper East Side"	"Manhattan"
"13"	13	40.72244	-74.00566	"Sullivan St, New York, NY 10013, USA"	"10013"	"Greenwich Village and Soho"	"Manhattan"
"14"	14	40.72885	-74.00859	"575-583 Greenwich St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"15"	15	40.74402	-73.97606	"301 E 33rd St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"16"	16	40.69089	-73.99612	"311-317 Henry St, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"17"	17	40.74475	-73.99915	"301 W 22nd St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"18"	18	40.75155	-73.99393	"461 8th Ave, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"19"	19	40.7502	-73.99093	"136-198 West 33rd Street, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"20"	20	40.73047	-73.98672	"232-298 E 11th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"21"	21	40.73172	-74.00674	"90 Barrow St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"22"	22	40.72066	-73.98518	"162-166 Suffolk St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"23"	23	40.7126	-73.96264	"117-127 S 3rd St, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"24"	24	40.72939	-73.97772	"605 E 14th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"25"	25	40.73262	-73.99158	"67-99 E 11th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"26"	26	40.73524	-73.98759	"123-135 E 16th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"27"	27	40.71291	-74.0102	"44-58 Barclay St, New York, NY 10007, USA"	"10007"	"Lower Manhattan"	"Manhattan"
"28"	28	40.7489	-73.97605	"158 E 39th St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"29"	29	40.70277	-73.99384	"7-11 Old Fulton St, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"30"	30	40.71745	-73.95851	"149 N 6th St, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"31"	31	40.73048	-73.99906	"250-262 Sullivan St, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"32"	32	40.76088	-74.00278	"Hudson River Greenway, New York, NY 10018, USA"	"10018"	"Chelsea and Clinton"	"Manhattan"
