,month,day_of_month,day_of_week,neighborhood,hour,normalized_imbalance,hour_group
0,7,1,4,Greenpoint,0,0.0,night
1,7,1,4,Greenpoint,1,-0.0134854771784,night
2,7,1,4,Greenpoint,2,0.00311203319502,night
3,7,1,4,Greenpoint,3,-0.00311203319502,night
4,7,1,4,Greenpoint,4,-0.0051867219917,night
5,7,1,4,Greenpoint,5,0.00207468879668,night
6,7,1,4,Greenpoint,6,0.00933609958506,7
7,7,1,4,Greenpoint,7,0.0124481327801,7
8,7,1,4,Greenpoint,8,0.0622406639004,8
9,7,1,4,Greenpoint,9,0.0207468879668,9
10,7,1,4,Greenpoint,10,0.0124481327801,10-16
11,7,1,4,Greenpoint,11,0.0114107883817,10-16
12,7,1,4,Greenpoint,12,0.00829875518672,10-16
13,7,1,4,Greenpoint,13,-0.00103734439834,10-16
14,7,1,4,Greenpoint,14,0.0176348547718,10-16
15,7,1,4,Greenpoint,15,-0.0321576763485,10-16
16,7,1,4,Greenpoint,16,0.00103734439834,10-16
17,7,1,4,Greenpoint,17,-0.0248962655602,17
18,7,1,4,Greenpoint,18,0.00933609958506,18
19,7,1,4,Greenpoint,19,-0.0124481327801,19
20,7,1,4,Greenpoint,20,-0.00311203319502,20
21,7,1,4,Greenpoint,21,-0.0114107883817,21
22,7,1,4,Greenpoint,22,0.00622406639004,night
23,7,1,4,Greenpoint,23,-0.00207468879668,night
24,7,1,4,Chelsea and Clinton,0,0.0041067761807,night
25,7,1,4,Chelsea and Clinton,1,-0.0082135523614,night
26,7,1,4,Chelsea and Clinton,2,-0.00246406570842,night
27,7,1,4,Chelsea and Clinton,3,-0.00205338809035,night
28,7,1,4,Chelsea and Clinton,4,-0.00328542094456,night
29,7,1,4,Chelsea and Clinton,5,0.0184804928131,night
30,7,1,4,Chelsea and Clinton,6,0.04681724846,7
31,7,1,4,Chelsea and Clinton,7,0.0451745379877,7
32,7,1,4,Chelsea and Clinton,8,-0.00574948665298,8
33,7,1,4,Chelsea and Clinton,9,-0.0336755646817,9
34,7,1,4,Chelsea and Clinton,10,-0.0156057494867,10-16
35,7,1,4,Chelsea and Clinton,11,0.00451745379877,10-16
36,7,1,4,Chelsea and Clinton,12,0.00205338809035,10-16
37,7,1,4,Chelsea and Clinton,13,0.0106776180698,10-16
38,7,1,4,Chelsea and Clinton,14,-0.0041067761807,10-16
39,7,1,4,Chelsea and Clinton,15,-0.0755646817248,10-16
40,7,1,4,Chelsea and Clinton,16,-0.0123203285421,10-16
41,7,1,4,Chelsea and Clinton,17,-0.0603696098563,17
42,7,1,4,Chelsea and Clinton,18,0.00903490759754,18
43,7,1,4,Chelsea and Clinton,19,0.00944558521561,19
44,7,1,4,Chelsea and Clinton,20,-0.0213552361396,20
45,7,1,4,Chelsea and Clinton,21,-0.0106776180698,21
46,7,1,4,Chelsea and Clinton,22,-0.00246406570842,night
47,7,1,4,Chelsea and Clinton,23,0.00328542094456,night
48,7,1,4,Greenwich Village and Soho,0,0.0282534246575,night
49,7,1,4,Greenwich Village and Soho,1,-0.00171232876712,night
50,7,1,4,Greenwich Village and Soho,2,0.00856164383562,night
51,7,1,4,Greenwich Village and Soho,3,-0.00342465753425,night
52,7,1,4,Greenwich Village and Soho,4,0.000856164383562,night
53,7,1,4,Greenwich Village and Soho,5,0.0,night
54,7,1,4,Greenwich Village and Soho,6,-0.0145547945205,7
55,7,1,4,Greenwich Village and Soho,7,-0.013698630137,7
56,7,1,4,Greenwich Village and Soho,8,-0.0565068493151,8
57,7,1,4,Greenwich Village and Soho,9,-0.196917808219,9
58,7,1,4,Greenwich Village and Soho,10,-0.0744863013699,10-16
59,7,1,4,Greenwich Village and Soho,11,-0.0145547945205,10-16
60,7,1,4,Greenwich Village and Soho,12,0.000856164383562,10-16
61,7,1,4,Greenwich Village and Soho,13,-0.00856164383562,10-16
62,7,1,4,Greenwich Village and Soho,14,0.0154109589041,10-16
63,7,1,4,Greenwich Village and Soho,15,0.00171232876712,10-16
64,7,1,4,Greenwich Village and Soho,16,0.0119863013699,10-16
65,7,1,4,Greenwich Village and Soho,17,-0.0111301369863,17
66,7,1,4,Greenwich Village and Soho,18,0.0428082191781,18
67,7,1,4,Greenwich Village and Soho,19,-0.0248287671233,19
68,7,1,4,Greenwich Village and Soho,20,0.00599315068493,20
69,7,1,4,Greenwich Village and Soho,21,0.0188356164384,21
70,7,1,4,Greenwich Village and Soho,22,0.00256849315068,night
71,7,1,4,Greenwich Village and Soho,23,0.0222602739726,night
72,7,1,4,Lower East Side,0,-0.00387034349299,night
73,7,1,4,Lower East Side,1,0.00387034349299,night
74,7,1,4,Lower East Side,2,0.00241896468312,night
75,7,1,4,Lower East Side,3,0.0,night
76,7,1,4,Lower East Side,4,0.00338655055636,night
77,7,1,4,Lower East Side,5,0.00870827285922,night
78,7,1,4,Lower East Side,6,0.0396710208031,7
79,7,1,4,Lower East Side,7,0.0827285921626,7
80,7,1,4,Lower East Side,8,0.208514755685,8
81,7,1,4,Lower East Side,9,0.128688921142,9
82,7,1,4,Lower East Side,10,0.0348330914369,10-16
83,7,1,4,Lower East Side,11,0.0183841315917,10-16
84,7,1,4,Lower East Side,12,-0.0062893081761,10-16
85,7,1,4,Lower East Side,13,-0.0188679245283,10-16
86,7,1,4,Lower East Side,14,-0.0222544750847,10-16
87,7,1,4,Lower East Side,15,-0.0778906627963,10-16
88,7,1,4,Lower East Side,16,-0.029511369134,10-16
89,7,1,4,Lower East Side,17,-0.0725689404935,17
90,7,1,4,Lower East Side,18,-0.0145137880987,18
91,7,1,4,Lower East Side,19,-0.0537010159652,19
92,7,1,4,Lower East Side,20,-0.0179003386551,20
93,7,1,4,Lower East Side,21,-0.0193517174649,21
94,7,1,4,Lower East Side,22,-0.0101596516691,night
95,7,1,4,Lower East Side,23,-0.00338655055636,night
96,7,1,4,Lower Manhattan,0,-0.00769971126083,night
97,7,1,4,Lower Manhattan,1,-0.0134744947064,night
98,7,1,4,Lower Manhattan,2,-0.00481231953802,night
99,7,1,4,Lower Manhattan,3,0.00288739172281,night
100,7,1,4,Lower Manhattan,4,-0.00288739172281,night
101,7,1,4,Lower Manhattan,5,0.00673724735322,night
102,7,1,4,Lower Manhattan,6,-0.0153994225217,7
103,7,1,4,Lower Manhattan,7,-0.055822906641,7
104,7,1,4,Lower Manhattan,8,-0.215591915303,8
105,7,1,4,Lower Manhattan,9,-0.168431183831,9
106,7,1,4,Lower Manhattan,10,-0.00769971126083,10-16
107,7,1,4,Lower Manhattan,11,-0.00577478344562,10-16
108,7,1,4,Lower Manhattan,12,0.0230991337825,10-16
109,7,1,4,Lower Manhattan,13,0.0269489894129,10-16
110,7,1,4,Lower Manhattan,14,0.0798845043311,10-16
111,7,1,4,Lower Manhattan,15,0.0519730510106,10-16
112,7,1,4,Lower Manhattan,16,0.0818094321463,10-16
113,7,1,4,Lower Manhattan,17,-0.00577478344562,17
114,7,1,4,Lower Manhattan,18,0.0413859480269,18
115,7,1,4,Lower Manhattan,19,0.00673724735322,19
116,7,1,4,Lower Manhattan,20,0.00577478344562,20
117,7,1,4,Lower Manhattan,21,0.0105871029836,21
118,7,1,4,Lower Manhattan,22,-0.00481231953802,night
119,7,1,4,Lower Manhattan,23,-0.0105871029836,night
120,7,1,4,Northwest Brooklyn,0,-0.00162557572474,night
121,7,1,4,Northwest Brooklyn,1,-0.00162557572474,night
122,7,1,4,Northwest Brooklyn,2,-0.00135464643728,night
123,7,1,4,Northwest Brooklyn,3,-0.00135464643728,night
124,7,1,4,Northwest Brooklyn,4,-0.000812787862368,night
125,7,1,4,Northwest Brooklyn,5,0.000541858574912,night
126,7,1,4,Northwest Brooklyn,6,0.0,7
127,7,1,4,Northwest Brooklyn,7,0.00704416147386,7
128,7,1,4,Northwest Brooklyn,8,0.00894066648605,8
129,7,1,4,Northwest Brooklyn,9,-0.00568951503658,9
130,7,1,4,Northwest Brooklyn,10,0.00189650501219,10-16
131,7,1,4,Northwest Brooklyn,11,0.000541858574912,10-16
132,7,1,4,Northwest Brooklyn,12,0.00460579788675,10-16
133,7,1,4,Northwest Brooklyn,13,-0.00352208073693,10-16
134,7,1,4,Northwest Brooklyn,14,-0.00108371714982,10-16
135,7,1,4,Northwest Brooklyn,15,-0.00325115144947,10-16
136,7,1,4,Northwest Brooklyn,16,0.00189650501219,10-16
137,7,1,4,Northwest Brooklyn,17,-0.00704416147386,17
138,7,1,4,Northwest Brooklyn,18,0.0043348685993,18
139,7,1,4,Northwest Brooklyn,19,-0.00650230289894,19
140,7,1,4,Northwest Brooklyn,20,0.00135464643728,20
141,7,1,4,Northwest Brooklyn,21,-0.000812787862368,21
142,7,1,4,Northwest Brooklyn,22,-0.000812787862368,night
143,7,1,4,Northwest Brooklyn,23,-0.00108371714982,night
144,7,1,4,Upper East Side,0,-0.00250626566416,night
145,7,1,4,Upper East Side,1,-0.00250626566416,night
