,month,day_of_month,day_of_week,neighborhood,morning_outgoing,afternoon_outgoing,morning_incoming,afternoon_incoming
0,7,1,4,Greenpoint,131,46,71,70
1,7,1,4,Chelsea and Clinton,969,515,983,662
2,7,1,4,Greenwich Village and Soho,315,278,381,291
3,7,1,4,Lower East Side,804,368,373,518
4,7,1,4,Lower Manhattan,249,158,473,164
5,7,1,4,Northwest Brooklyn,200,77,167,103
6,7,1,4,Upper East Side,249,83,114,112
7,7,1,4,Gramercy Park and Murray Hill,536,347,803,313
8,7,1,4,Bushwick and Williamsburg,81,46,58,54
9,7,1,4,Upper West Side,292,55,67,113
10,7,1,4,Central Brooklyn,71,11,27,13
11,7,1,4,Northwest Queens,22,19,40,19
12,7,1,4,Sunset Park,0,0,1,0
13,7,1,4,Hudson,0,0,0,0
14,7,2,5,Lower East Side,188,419,137,402
15,7,2,5,Chelsea and Clinton,233,615,203,585
16,7,2,5,Bushwick and Williamsburg,30,89,36,82
17,7,2,5,Upper West Side,51,233,37,215
18,7,2,5,Greenwich Village and Soho,89,363,108,349
19,7,2,5,Northwest Brooklyn,53,161,49,198
20,7,2,5,Northwest Queens,4,25,10,23
21,7,2,5,Central Brooklyn,14,27,7,21
22,7,2,5,Gramercy Park and Murray Hill,87,215,90,231
23,7,2,5,Lower Manhattan,69,334,76,283
24,7,2,5,Greenpoint,37,74,21,82
25,7,2,5,Upper East Side,39,156,29,131
26,7,2,5,Sunset Park,0,0,0,0
27,7,3,6,Gramercy Park and Murray Hill,92,258,70,282
28,7,3,6,Chelsea and Clinton,193,675,158,679
29,7,3,6,Northwest Brooklyn,54,245,44,231
30,7,3,6,Upper West Side,73,263,51,272
31,7,3,6,Greenwich Village and Soho,77,384,74,401
32,7,3,6,Lower Manhattan,61,322,63,340
33,7,3,6,Lower East Side,122,409,86,434
34,7,3,6,Upper East Side,47,182,40,147
35,7,3,6,Bushwick and Williamsburg,14,88,9,96
36,7,3,6,Central Brooklyn,3,18,4,32
37,7,3,6,Greenpoint,25,94,24,102
38,7,3,6,Northwest Queens,2,34,3,34
39,7,4,0,Greenwich Village and Soho,92,427,75,385
40,7,4,0,Lower East Side,116,435,85,523
41,7,4,0,Lower Manhattan,44,340,60,364
42,7,4,0,Chelsea and Clinton,189,708,174,689
43,7,4,0,Gramercy Park and Murray Hill,97,269,83,291
44,7,4,0,Upper East Side,35,201,36,166
45,7,4,0,Greenpoint,25,114,14,143
46,7,4,0,Upper West Side,50,225,35,257
47,7,4,0,Northwest Brooklyn,30,155,25,175
48,7,4,0,Bushwick and Williamsburg,18,99,22,107
49,7,4,0,Central Brooklyn,5,32,3,36
50,7,4,0,Northwest Queens,8,37,9,48
51,7,5,1,Lower East Side,668,591,264,878
52,7,5,1,Gramercy Park and Murray Hill,535,966,755,625
53,7,5,1,Lower Manhattan,257,688,388,382
54,7,5,1,Greenpoint,108,79,60,87
55,7,5,1,Chelsea and Clinton,937,1247,874,1318
56,7,5,1,Northwest Brooklyn,160,173,132,139
57,7,5,1,Bushwick and Williamsburg,87,73,61,76
58,7,5,1,Greenwich Village and Soho,320,603,395,501
59,7,5,1,Upper East Side,191,174,75,206
60,7,5,1,Northwest Queens,16,31,33,22
61,7,5,1,Upper West Side,166,186,47,230
62,7,5,1,Central Brooklyn,38,12,14,22
63,7,5,1,Sunset Park,0,0,1,0
64,7,6,2,Chelsea and Clinton,1176,1492,1182,1443
65,7,6,2,Greenwich Village and Soho,469,673,578,558
66,7,6,2,Gramercy Park and Murray Hill,728,1110,1059,673
67,7,6,2,Greenpoint,163,96,102,84
68,7,6,2,Upper East Side,273,172,125,188
69,7,6,2,Lower East Side,1023,644,446,900
70,7,6,2,Upper West Side,326,145,77,241
71,7,6,2,Northwest Brooklyn,234,177,226,185
72,7,6,2,Bushwick and Williamsburg,112,79,77,95
73,7,6,2,Lower Manhattan,305,700,594,376
74,7,6,2,Central Brooklyn,74,21,29,37
75,7,6,2,Northwest Queens,21,42,45,30
76,7,6,2,Sunset Park,0,0,2,0
77,7,7,3,Chelsea and Clinton,1202,1350,1197,1417
78,7,7,3,Lower Manhattan,313,576,537,322
79,7,7,3,Lower East Side,1002,632,435,857
80,7,7,3,Greenwich Village and Soho,419,583,590,465
81,7,7,3,Greenpoint,159,69,96,94
82,7,7,3,Upper West Side,321,171,69,254
83,7,7,3,Northwest Brooklyn,245,172,220,156
84,7,7,3,Central Brooklyn,72,22,24,16
85,7,7,3,Gramercy Park and Murray Hill,678,1131,1004,661
86,7,7,3,Bushwick and Williamsburg,106,87,73,85
87,7,7,3,Upper East Side,277,191,153,225
88,7,7,3,Northwest Queens,28,33,39,31
89,7,7,3,Sunset Park,1,4,2,4
90,7,7,3,Hudson,0,0,0,1
91,7,8,4,Chelsea and Clinton,1116,1132,1070,1324
92,7,8,4,Lower East Side,970,623,470,946
93,7,8,4,Upper East Side,237,170,134,216
94,7,8,4,Greenpoint,139,98,79,110
95,7,8,4,Gramercy Park and Murray Hill,635,908,964,613
96,7,8,4,Bushwick and Williamsburg,99,72,69,88
97,7,8,4,Greenwich Village and Soho,386,642,482,553
98,7,8,4,Northwest Brooklyn,205,157,198,183
99,7,8,4,Lower Manhattan,271,498,473,311
100,7,8,4,Northwest Queens,24,50,31,44
101,7,8,4,Central Brooklyn,77,26,29,38
102,7,8,4,Upper West Side,328,120,87,236
103,7,8,4,Sunset Park,3,1,6,0
104,7,9,5,Lower East Side,260,543,194,572
105,7,9,5,Chelsea and Clinton,231,684,207,679
106,7,9,5,Bushwick and Williamsburg,27,138,26,113
107,7,9,5,Greenwich Village and Soho,124,411,158,444
108,7,9,5,Gramercy Park and Murray Hill,111,310,84,316
109,7,9,5,Central Brooklyn,13,35,9,34
110,7,9,5,Greenpoint,28,105,13,136
111,7,9,5,Lower Manhattan,86,283,73,265
112,7,9,5,Northwest Brooklyn,43,169,43,174
113,7,9,5,Upper West Side,68,231,45,213
114,7,9,5,Northwest Queens,7,31,6,33
115,7,9,5,Upper East Side,55,170,48,170
116,7,9,5,Sunset Park,0,0,0,0
117,7,10,6,Greenwich Village and Soho,80,477,86,364
118,7,10,6,Chelsea and Clinton,232,772,203,706
119,7,10,6,Northwest Queens,5,37,6,34
120,7,10,6,Lower East Side,175,550,125,578
121,7,10,6,Upper West Side,75,198,55,232
122,7,10,6,Central Brooklyn,7,36,7,34
123,7,10,6,Gramercy Park and Murray Hill,94,340,89,286
124,7,10,6,Northwest Brooklyn,43,204,38,159
125,7,10,6,Bushwick and Williamsburg,8,108,6,105
126,7,10,6,Greenpoint,16,130,16,141
127,7,10,6,Lower Manhattan,74,275,79,270
128,7,10,6,Upper East Side,47,171,45,148
129,7,10,6,Sunset Park,0,0,0,0
130,7,11,0,Greenwich Village and Soho,429,732,544,574
131,7,11,0,Northwest Brooklyn,234,184,196,178
