,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
0,,18,20,,72,,2016-11-22 02:41:46 PM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1,In Service,False,39
1,,29,4,,79,,2016-11-22 02:41:23 PM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1,In Service,False,33
2,,22,5,,82,,2016-11-22 02:42:36 PM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1,In Service,False,27
3,,18,43,,83,,2016-11-22 02:44:54 PM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,1,In Service,False,62
4,,28,9,,116,,2016-11-22 02:44:42 PM,40.74177603,,-74.00149746,,W 17 St & 8 Ave,,W 17 St & 8 Ave,1,In Service,False,39
5,,10,9,,119,,2016-11-22 02:43:17 PM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1,In Service,False,19
6,,5,13,,120,,2016-11-22 02:44:10 PM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1,In Service,False,19
7,,26,5,,127,,2016-11-22 02:42:33 PM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1,In Service,False,31
8,,26,2,,128,,2016-11-22 02:42:45 PM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1,In Service,False,30
9,,0,0,,137,,2016-11-09 05:53:45 PM,40.761628,,-73.972924,,E 56 St & Madison Ave,,E 56 St & Madison Ave,3,Not In Service,False,6
10,,20,2,,143,,2016-11-22 02:43:19 PM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1,In Service,False,24
11,,8,11,,144,,2016-11-22 02:44:32 PM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,1,In Service,False,19
12,,17,22,,146,,2016-11-22 02:42:59 PM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1,In Service,False,39
13,,26,6,,147,,2016-11-22 02:43:14 PM,40.71542197,,-74.01121978,,Greenwich St & Warren St,,Greenwich St & Warren St,1,In Service,False,33
14,,8,23,,150,,2016-11-22 02:44:50 PM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1,In Service,False,31
15,,23,9,,151,,2016-11-22 02:44:08 PM,40.7221037867,,-73.9972490072,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1,In Service,False,33
